Temperature (in C),pH,Fermentation time (days),Substrate concentration (%w/v),Agitation rate (rpm),Xylanase acitvity experimental (U/ml)
40.0,7.0,7.0,1.0,110.0,43.61
40.0,6.0,7.0,1.0,140.0,37.65
40.0,5.0,7.0,3.0,80.0,63.02
35.0,6.0,7.0,5.0,110.0,44.22
45.0,6.0,7.0,5.0,110.0,2.73
40.0,6.0,6.0,3.0,80.0,45.26
45.0,6.0,7.0,3.0,80.0,3.88
40.0,7.0,7.0,5.0,110.0,44.56
35.0,6.0,7.0,1.0,110.0,28.19
35.0,6.0,7.0,3.0,140.0,39.13
40.0,6.0,7.0,3.0,110.0,45.22
40.0,6.0,7.0,3.0,110.0,44.66
40.0,7.0,7.0,3.0,140.0,43.89
35.0,5.0,7.0,3.0,110.0,36.58
35.0,6.0,7.0,3.0,80.0,39.18
40.0,6.0,8.0,3.0,140.0,40.82
40.0,6.0,8.0,1.0,110.0,45.32
45.0,7.0,7.0,3.0,110.0,1.76
40.0,5.0,7.0,5.0,110.0,51.11
40.0,6.0,7.0,3.0,110.0,52.09
40.0,6.0,7.0,3.0,110.0,42.78
40.0,6.0,7.0,3.0,110.0,48.67
40.0,6.0,6.0,1.0,110.0,42.01
40.0,6.0,7.0,5.0,80.0,47.17
35.0,6.0,8.0,3.0,110.0,38.11
40.0,7.0,6.0,3.0,110.0,44.25
40.0,6.0,8.0,3.0,80.0,51.64
40.0,6.0,6.0,5.0,110.0,44.85
40.0,6.0,6.0,3.0,140.0,39.95
40.0,7.0,7.0,3.0,80.0,70.28
40.0,6.0,7.0,3.0,110.0,39.81
40.0,5.0,7.0,1.0,110.0,40.72
40.0,6.0,8.0,5.0,110.0,47.79
40.0,6.0,7.0,1.0,80.0,37.13
40.0,6.0,7.0,5.0,140.0,48.81
45.0,6.0,7.0,3.0,140.0,3.21
40.0,5.0,7.0,3.0,140.0,33.91
45.0,5.0,7.0,3.0,110.0,2.65
35.0,7.0,7.0,3.0,110.0,42.68
40.0,5.0,8.0,3.0,110.0,46.37
40.0,5.0,6.0,3.0,110.0,43.27
35.0,6.0,6.0,3.0,110.0,35.02
40.0,7.0,8.0,3.0,110.0,49.42
45.0,6.0,8.0,3.0,110.0,2.09
45.0,6.0,6.0,3.0,110.0,2.57
45.0,6.0,7.0,1.0,110.0,0.81
39.812105162988814,6.983577577667142,7.026994883290584,0.894560013688289,109.9745147390498,43.61
39.81809194329304,6.023701436946924,7.037383073695213,1.0349976894506032,142.15466179027206,37.65
40.52394213623901,4.975418660157208,6.913561269541035,2.8241379563785074,78.30968671474115,63.02
35.367516876616584,5.943806266582832,6.962996075106621,5.172458775676496,111.62081636244298,44.22
44.86522458459234,5.984730334927548,7.064729267209141,4.94915325689412,107.39919326586852,2.73
40.37850905027783,6.072158973677627,5.96311745056278,2.8090349201728797,77.06345719542497,45.26
44.77055687625054,6.025263815284831,6.901312880095237,2.9881747933338287,75.84589137929927,3.88
40.24455126030864,7.0244244704137175,7.071023440288484,4.880196635477541,109.44340817589466,44.56
34.955328777266566,6.016621989293807,6.929750430755206,1.0279593126893745,107.77948748128624,28.19
34.70487456028086,6.069834604949477,7.021353553723562,2.9449269738496966,139.5966753186591,39.13
40.07920523282906,5.912311824149572,7.099807407430681,2.923743453328415,107.05898450460332,45.22
39.90154323790734,6.062483723968241,7.034069381788946,2.999903890532085,111.10671736490248,44.66
40.20467244053732,6.973813908740247,6.950096281608609,3.120433368515018,139.15184704210452,43.89
34.48220866047771,5.051465206593441,6.895465931868171,2.89721348274186,112.82942179288526,36.58
35.251436759549414,5.996174614292484,7.042597432898118,2.855681642335897,82.04351436331578,39.18
40.1791857369717,5.994125672431072,8.07587337515608,2.8934472319323383,139.3156450976227,40.82
40.58344482232903,5.939216860126364,7.968818003798906,1.09934919863837,109.14606191445984,45.32
44.87255823752887,7.0262678071590905,7.002978541479094,2.9718215657983835,108.46264008364616,1.76
39.94500393744835,4.99318411511176,6.92952493082716,5.140786605064296,110.1409423878924,51.11
39.654972252911584,5.909026548031089,7.105379717343991,3.0538621518609177,108.75158153368186,52.09
40.041797849419815,5.974922517957867,6.9314823220879855,3.258326785879621,108.96291297261196,42.78
39.91451037173694,6.013884995901029,7.015292482497639,3.036073576956241,109.19278147860284,48.67
39.94801752731264,6.036120963859903,5.99475646729314,0.9585376818321212,109.04498736098718,42.01
40.1713330565711,6.02946865586795,7.010618701297683,5.0296754125228365,82.93550960811132,47.17
