TEMPERATURE (degree C),pH,FERMENTATION TIME (DAYS),SUBSTRATE CONCENTRATION (%),AGITATION RATE (rpm),EXPERIMENTAL XYLANASE ACTIVITY (U ml-1)
45.0,6.0,7.0,5.0,110.0,2.89
40.0,6.0,7.0,3.0,110.0,35.83
40.0,6.0,7.0,3.0,110.0,40.06
35.0,6.0,7.0,5.0,110.0,53.62
40.0,5.0,7.0,1.0,110.0,40.16
35.0,6.0,6.0,3.0,110.0,40.19
45.0,5.0,7.0,3.0,110.0,1.99
40.0,6.0,6.0,3.0,140.0,40.85
40.0,5.0,7.0,5.0,110.0,51.88
40.0,6.0,7.0,5.0,80.0,59.96
40.0,6.0,6.0,5.0,110.0,37.57
40.0,6.0,6.0,3.0,80.0,49.66
40.0,7.0,8.0,3.0,110.0,36.18
40.0,7.0,7.0,3.0,140.0,41.71
40.0,6.0,7.0,5.0,140.0,27.53
35.0,6.0,7.0,3.0,80.0,34.24
40.0,6.0,8.0,3.0,140.0,41.13
45.0,6.0,8.0,3.0,110.0,2.16
40.0,6.0,8.0,3.0,80.0,56.83
40.0,7.0,7.0,1.0,110.0,39.64
35.0,5.0,7.0,3.0,110.0,43.6
40.0,6.0,7.0,1.0,140.0,26.51
40.0,6.0,7.0,3.0,110.0,46.62
40.0,5.0,7.0,3.0,80.0,54.82
40.0,6.0,7.0,3.0,110.0,51.58
45.0,7.0,7.0,3.0,110.0,2.13
45.0,6.0,6.0,3.0,110.0,5.15
40.0,7.0,7.0,3.0,80.0,61.92
45.0,6.0,7.0,3.0,80.0,4.18
45.0,6.0,7.0,1.0,110.0,0.965
45.0,6.0,7.0,3.0,140.0,4.057
35.0,6.0,8.0,3.0,110.0,50.63
40.0,7.0,7.0,5.0,110.0,49.79
40.0,7.0,6.0,3.0,110.0,40.72
40.0,6.0,8.0,5.0,110.0,54.56
40.0,6.0,7.0,1.0,80.0,39.36
40.0,5.0,7.0,3.0,140.0,44.77
40.0,6.0,6.0,1.0,110.0,32.01
35.0,6.0,7.0,3.0,140.0,45.03
35.0,6.0,7.0,1.0,110.0,32.57
40.0,6.0,8.0,1.0,110.0,57.38
40.0,5.0,8.0,3.0,110.0,58.61
40.0,6.0,7.0,3.0,110.0,37.74
40.0,6.0,7.0,3.0,110.0,36.29
35.0,7.0,7.0,3.0,110.0,43.05
40.0,5.0,6.0,3.0,110.0,41.95
45.35737817275286,5.927043800264645,7.059516286446626,5.098139334883316,111.30845349294503,2.89
40.021572752691135,5.951497790697354,7.044842275779801,2.8497542695768376,106.41274987629136,35.83
39.68639403277936,5.932564357473562,6.959244825975107,3.0226013245817964,111.03157330620256,40.06
34.943929559043156,5.937129861391197,7.001280968869207,5.038420445366088,109.48682010154515,53.62
39.627929624629104,4.936564621154288,6.991585602396506,1.0365915063782896,109.32396471625363,40.16
35.13209641753945,5.967038517582149,6.027951752579316,2.946171140436217,110.94550809663662,40.19
45.145019579702435,5.01752049920702,7.062465325654413,3.0324384410669682,110.44484305076266,1.99
39.30844230554967,6.04437235818593,6.018152845903629,2.884863126477426,141.05464620266653,40.85
40.1836055665341,5.017934925752483,6.990287258371936,5.071589863228557,108.24274848002739,51.88
40.017920244226296,5.978262226580614,7.028703332188825,4.848598734298394,82.51034266635402,59.96
39.50513189025269,5.983763777286905,5.874821664724687,5.084477230839592,110.89250352731251,37.57
39.386579453096914,6.061482972379064,6.136791601938282,2.9372589374325075,79.38912639339222,49.66
39.86475473089302,6.951361368378262,8.028494287716043,3.230061126897489,111.04481534611884,36.18
39.34059685431205,7.031960788282812,7.024593551701938,3.010678705460969,138.095153589953,41.71
39.89997458259848,5.974960218807267,7.0411079231945894,5.005346593969639,139.61059309791352,27.53
34.65284851909995,6.0788139699870865,6.921457132322965,2.8823496909794555,80.28065912387189,34.24
39.53084926086657,6.020386512248486,7.982147250958877,3.209971200180402,138.6845801712196,41.13
44.98807434854409,5.956926478681127,8.042095998847644,2.9858506624885695,111.79069013213442,2.16
