SUBSTRATE CONCENTRATION (g),TEMPERATURE (degree C),INITIAL pH,INITIAL MOISTURE CONTENT (%),INCUBATION TIME (hrs),EXPERIMENTAL XYLANASE ACTIVITY (U/gds)
12,34,6,73,95,603.21
12,34,6,73,105,575.45
8,34,4,73,95,510
12,30,6,73,95,584.34
12,30,4,73,95,526.54
10,32,5,75,110.9,548.78
8,34,6,77,95,565.12
8,34,6,73,95,603.65
8,30,4,77,105,599.32
12,30,6,77,95,567.32
12,34,4,73,105,549.34
5.2,32,5,75,100,593
12,34,4,73,95,516.32
10,32,5,75,88.1,537
8,30,6,73,105,571.21
8,30,6,77,105,574.21
8,34,4,77,105,601.21
8,34,6,73,105,600.21
12,30,6,77,105,540.23
10,32,5,75,100,627.23
10,32,2.7,75,100,521.12
10,32,5,75,100,627.33
8,34,6,77,105,589.43
10,32,5,75,100,605.43
10,32,5,75,100,627.53
10,32,5,70.2,100,541.09
12,30,4,73,105,515.12
10,32,5,75,100,627.67
12,30,4,77,95,566.2
10,32,5,79.8,100,523
12,30,6,73,105,527.61
10,32,5,75,100,627.97
8,34,4,73,105,567.02
12,34,6,77,95,585
10,32,5,75,100,627.75
10,36.8,5,75,100,578
10,32,7.3,75,100,564.87
10,27.2,5,75,100,554
12,34,4,77,95,537.34
8,30,4,77,95,552.43
12,34,4,77,105,579.03
10,32,5,75,100,627.67
14.8,32,5,75,100,568
8,30,6,73,95,591.23
12,34,6,77,105,576.43
8,34,4,77,95,535.64
8,30,4,73,105,554.76
12,30,4,77,105,585.63
8,30,4,73,95,524.53
8,30,6,77,95,579.32
11.96045734,34.04120401,5.929154051,73.28654219,94.51306571,603.21
12.0848466,33.73144806,5.899432092,72.76328426,104.9739557,575.45
8.127151909,33.77091348,3.983475096,72.87109578,95.33740414,510
11.78332401,30.20665014,5.889323133,72.79770459,95.75406489,584.34
12.26525647,29.90633637,4.183402155,73.09958934,95.6060321,526.54
9.86770138,31.90273675,5.044008633,74.95653221,110.0920795,548.78
7.752434314,33.84711848,6.044677684,77.26366414,95.4881012,565.12
7.89935345,33.8835298,6.041017693,73.00245024,95.01012863,603.65
8.050922903,30.06520501,4.108628671,76.89674006,105.0070612,599.32
11.81549051,30.03635889,5.967225823,77.00073319,94.27941427,567.32
12.40920406,33.68442516,4.135306991,72.98046168,105.0866789,549.34
5.302106391,31.62444684,5.049011256,75.08861475,100.8622876,593
11.67877556,34.16313809,4.009356849,73.10753279,94.90025928,516.32
10.02261285,32.12581995,4.927419925,74.83077418,87.79018242,537
8.066157131,30.19912377,6.147175924,72.9961399,105.1205155,571.21
8.075811174,29.96880427,5.90237456,77.18959281,105.0774975,574.21
7.938950116,33.95880392,4.030956564,76.74940349,104.3522274,601.21
7.733912155,34.07468139,6.102247363,73.29094849,105.3623244,600.21
11.86447774,30.34912928,5.915317547,77.04787539,104.1326594,540.23
10.1940205,32.31928119,5.018011495,75.12039662,100.2216775,627.23
9.665211517,32.10222785,2.600620853,74.87561202,99.34861041,521.12
9.662445476,32.09314197,4.923543313,75.26580961,99.88646564,627.33
7.703823629,34.10396178,5.870087893,77.15730049,105.3536844,589.43
9.898853423,32.00456404,4.95884805,74.96510857,99.67485212,605.43
9.887267771,32.1965385,4.937007459,75.15945555,100.1496498,627.53
9.910704704,31.85687871,4.903192419,70.06853605,99.72567264,541.09
12.21868984,30.05213024,3.978072905,73.28576159,105.7718712,515.12
10.00840787,31.86970306,4.889312432,74.83231855,99.70292127,627.67
11.58797099,29.80299036,3.951074487,76.89547601,95.2464215,566.2
9.739371305,32.20139605,4.971687818,79.86453246,100.1610273,523
11.77281463,29.98815843,6.102990819,72.91437738,104.9291658,527.61
10.06518804,32.19758647,4.968530826,75.14466582,99.65974935,627.97
7.888675596,33.82720777,3.939267616,72.97384955,104.5625247,567.02
12.13639335,34.20277785,5.953740638,76.70816596,94.49126191,585
10.22957393,31.65679915,4.868982042,74.71041792,100.2151214,627.75
9.966142413,36.6167475,5.069869046,75.12259969,100.438678,578
9.981000892,32.06760817,7.179485871,74.96515783,99.67380994,564.87
10.07869897,27.16834375,5.092758387,75.17556023,99.53634756,554
12.00050028,33.78684035,4.200752197,76.9319592,95.27106573,537.34
8.232456309,30.05371896,4.001407268,77.07363875,94.9466334,552.43
12.06364564,34.12747743,4.06928723,76.73571588,104.0154959,579.03
9.85017254,32.1003802,4.907884019,74.81104977,100.3297008,627.67
14.8153657,31.9085946,4.999864926,75.28963235,99.76132032,568
7.871087098,30.04029331,5.665515532,73.13807728,94.89757861,591.23
11.67012882,34.13887303,6.147953003,76.82146178,105.3629746,576.43
8.010216515,33.83444246,4.014030649,76.90573175,95.41944655,535.64
8.124989989,30.51730263,4.087565819,72.92020908,104.814166,554.76
11.74468903,30.37821435,4.00231213,76.75774709,104.987185,585.63
7.867460966,29.88608844,3.974768072,72.96605379,95.04230325,524.53
8.185275121,29.88940321,6.061441318,77.27665162,94.75864281,579.32
