BIRCHWOOD XYLAN (%),YEAST EXTRACT (%),TEMPERATURE (degree C),INCUBATION PERIOD (hours),EXPERIMENTAL XYLANASE ACTIVITY (U/mL)
1.5,1.0,40.0,24.0,85.52
2.0,1.5,35.0,18.0,70.02
0.5,1.0,40.0,24.0,78.13
1.5,2.0,40.0,24.0,82.14
2.0,0.5,35.0,36.0,78.14
1.0,1.5,45.0,36.0,72.01
1.0,0.5,35.0,36.0,71.16
1.5,1.0,40.0,12.0,48.65
1.5,1.0,50.0,24.0,62.18
1.5,1.0,40.0,2.0,63.43
2.0,1.5,45.0,18.0,64.44
1.0,0.5,35.0,18.0,61.02
1.0,0.5,45.0,18.0,58.12
2.0,0.5,35.0,18.0,65.04
2.5,1.0,40.0,24.0,78.14
2.0,0.5,45.0,36.0,77.1
1.5,1.0,40.0,24.0,86.62
1.5,0.30000000000000004,40.0,24.0,78.02
1.5,1.0,40.0,24.0,85.32
2.0,1.5,45.0,36.0,69.0
1.0,0.5,45.0,36.0,74.13
1.0,1.5,45.0,18.0,70.06
1.0,1.5,35.0,18.0,73.0
1.5,1.0,30.0,24.0,66.04
2.0,0.5,45.0,18.0,62.12
1.0,1.5,35.0,36.0,72.07
2.0,1.5,35.0,36.0,69.1
1.5,1.0,40.0,24.0,85.52
1.5,1.0,40.0,24.0,86.04
1.5,1.0,40.0,24.0,85.52
1.441887708064126,1.0559835694823416,40.28532776746978,23.60239264953425,85.52
2.044212290754834,1.562803808490827,34.97293193800016,17.42888540924349,70.02
0.5367503561287428,1.0021550200121558,40.12473186164356,23.240582089639293,78.13
1.4490823944232865,1.9402426018801275,40.36540054092928,22.184176937677798,82.14
1.9722722743462149,0.5183528970953936,35.44130413466235,36.332204426180155,78.14
0.9631571093569454,1.4352394438509288,45.798355098561395,35.76334452846008,72.01
1.0347353627955929,0.45921997465340125,35.06561081625279,36.10562272436319,71.16
1.4074553856756684,0.975694216966412,41.23525838079672,12.700370644790247,48.65
1.538143902239666,1.0077962963665088,49.83445124640732,23.666972358527826,62.18
1.4802935156630141,1.0021903713374283,40.572430558380226,3.4693207264386317,63.43
2.0212205773724636,1.5064568160920615,45.290739070778194,17.75867221454423,64.44
1.0401163387664625,0.552818451736077,34.75345307237539,18.001401726427055,61.02
1.0483169845678348,0.5497585416693447,44.88879053087853,17.773879394652244,58.12
2.004014472629496,0.410692789074835,34.70422481584829,16.62595320535135,65.04
2.48133902615814,1.0168530419732253,40.65982897005282,23.25703145275104,78.14
1.946186961177217,0.5363316097029338,45.47672967164671,34.63896074495931,77.1
1.5121010789899616,1.0460204735241372,39.41620263823194,23.254520805385063,86.62
1.426561364337219,0.3260565474708279,40.528452991615985,23.665675608892627,78.02
1.456879529755572,1.1069909451998678,40.80101816832607,24.14139737184928,85.32
1.9337039185757317,1.4421452679672524,45.35997559102694,36.11231766580901,69.0
1.0334240968350286,0.45222322745506294,44.68171668915057,35.731887574788075,74.13
0.9872338049091188,1.5444901800358375,44.86472575610722,16.855863707062987,70.06
0.9699654717873667,1.5459967367070409,36.01986530574933,17.07062691230523,73.0
1.5294269540145873,1.0646608373929938,30.202551324228686,23.09138254441663,66.04
1.9032019339376172,0.4723475863499934,44.86603149710038,18.293122959790786,62.12
0.9988657069093799,1.4638715805110307,35.30239448544719,37.19982116111068,72.07
1.949001715569321,1.5323661102734394,33.92728899774898,35.22111101479099,69.1
1.4665816746337066,1.0111517114769573,40.04677710227426,24.461548099058415,85.52
1.4967788992939064,1.0238458527190564,39.899388867404745,22.86183075030608,86.04
1.5138107146189343,1.03113990840663,40.29011357073632,22.884857501252085,85.52
