INCUBATION TIME (DAYS),HUMIDITY (%),TEMPERATURE (degree C),INOCULUM SIZE (spore/g),EXPERIMENTAL XYLANASE ACTIVTY (U/mL)
5.0,55.0,22.0,10000000.0,8037.77
5.0,70.0,22.0,1000000.0,8910.0
3.0,70.0,26.0,19000000.0,3435.5
5.0,70.0,26.0,10000000.0,6423.96
7.0,70.0,30.0,10000000.0,1461.82
3.0,70.0,22.0,10000000.0,3925.01
5.0,85.0,26.0,1000000.0,14037.1
3.0,55.0,26.0,10000000.0,4781.09
5.0,70.0,30.0,1000000.0,6412.79
7.0,70.0,26.0,1000000.0,5869.63
7.0,85.0,26.0,10000000.0,11287.8
3.0,70.0,30.0,10000000.0,5706.46
7.0,70.0,22.0,10000000.0,6891.12
3.0,85.0,26.0,10000000.0,7166.05
5.0,85.0,26.0,19000000.0,12566.3
5.0,70.0,26.0,10000000.0,7063.23
5.0,70.0,22.0,19000000.0,7912.61
5.0,55.0,26.0,19000000.0,8232.24
7.0,55.0,26.0,10000000.0,6388.2
5.0,55.0,26.0,1000000.0,9649.36
5.0,55.0,30.0,10000000.0,5462.83
5.0,85.0,22.0,10000000.0,13393.3
7.0,70.0,26.0,19000000.0,3363.97
5.0,70.0,26.0,10000000.0,6520.08
5.0,85.0,30.0,10000000.0,6858.0
3.0,70.0,26.0,1000000.0,6323.38
5.0,70.0,30.0,19000000.0,5769.05
5.143922828847959,54.25180384850925,22.264531955665664,10973256.418200778,8037.77
5.193646117953175,70.48330794875513,21.989970070643444,813071.9352273215,8910.0
3.026777466777566,71.02367795875897,26.212127666376094,19715035.842941485,3435.5
4.92425575204541,70.23885544987915,26.016442445008973,10256047.71860323,6423.96
7.229100401487731,69.49335467744719,29.85143404499845,10335404.202289118,1461.82
3.1220178819145508,71.04787099914607,22.207032766737857,10230015.805870598,3925.01
5.035812747231774,84.87580187985851,26.05446364793179,-285711.77248567715,14037.1
3.0439266089441657,55.93181856154804,26.13236099644628,10734270.41870994,4781.09
4.867828553223948,69.82016429053829,30.20077445268156,606675.5154006593,6412.79
6.967243450872365,71.40931378436629,25.80094886045315,1126523.0061346516,5869.63
6.852402528283158,85.24669464581181,25.757595849745076,10265777.609525919,11287.8
3.02463747436811,69.33042378137296,29.7314779428376,10367873.848478023,5706.46
7.080236952763913,70.02640706551178,21.768665929591982,10395324.973020436,6891.12
2.853283358663733,85.35267394747147,25.8358023262558,10148194.698697325,7166.05
4.979710402410327,84.31041056606244,26.163806952585748,19058776.22897782,12566.3
4.900588545065689,69.31618168642056,25.989761142710964,10335564.837165954,7063.23
4.896188585630982,70.68532835727906,21.85450539576904,19689699.162350528,7912.61
5.09525062341122,55.165537668675796,25.930914387463098,18531449.928401884,8232.24
6.872934121538854,56.02227136519996,26.163641610731258,8821123.022631038,6388.2
4.99133609047281,55.850062705056935,26.18704403507728,760341.6895179376,9649.36
4.941379035093695,54.199648142756914,29.753772207215995,9892539.083610132,5462.83
5.048548196864977,86.70373648547208,22.215974118589763,10016592.502410874,13393.3
7.137258095875781,71.14491133488504,25.973636999016975,19017003.615121324,3363.97
5.093697460978474,70.99976245243408,26.081192955430115,10272326.8897466,6520.08
4.889979313788482,85.38223994919963,30.266174549734412,10342493.46006559,6858.0
2.8228524207685872,69.39678941989344,26.395894052500047,811744.5019009709,6323.38
5.0663393372489915,68.9959989259343,29.73565596899588,19786314.83219368,5769.05
